ID,donorName,donorEmail,donorPhone,city,amount,currencyCode,donationDate,cause,campaign,donor_ID
fb683447-0904-4e12-929e-3de8a8562292,Rodriguez Charitable Foundation,rodriguez.charitable.foundation@aol.com,(212) 931-1283,Baltimore,976,USD,2025-08-26,Veterans Support,Fund the Veterans Support Relief Effort,096f4a69-87f3-42f1-a3a6-9b32bc697a76
6c227ed8-e142-4817-99a9-b6ce0074786f,Rodriguez Charitable Foundation,rodriguez.charitable.foundation@aol.com,(212) 931-1283,Colorado Springs,1633,USD,2025-04-15,Environment,Colorado Springs Environment Fund,096f4a69-87f3-42f1-a3a6-9b32bc697a76
2371012f-ca30-4a35-a2c0-75ceedd0872e,Rodriguez Charitable Foundation,rodriguez.charitable.foundation@aol.com,(212) 931-1283,El Paso,305,USD,2024-11-30,Community Development,Community Development Relief for El Paso,096f4a69-87f3-42f1-a3a6-9b32bc697a76
5c35cb2d-1587-4950-bd19-e1c650b50bc6,Rodriguez Charitable Foundation,rodriguez.charitable.foundation@aol.com,(212) 931-1283,Fresno,205,USD,2025-02-04,Children's Services,Children's Services Relief for Fresno,096f4a69-87f3-42f1-a3a6-9b32bc697a76
a60910d6-81d7-47ce-b14f-8a60ec6ae807,Rodriguez Charitable Foundation,rodriguez.charitable.foundation@aol.com,(212) 931-1283,Denver,1499,USD,2025-01-14,Food Security,Restore Denver Food Security,096f4a69-87f3-42f1-a3a6-9b32bc697a76
d913018a-ca55-4790-bd4c-20f40c0204ff,Rivera Enterprises,rivera.enterprises143@outlook.com,(703) 120-4339,Miami,1976,USD,2025-08-22,Disaster Relief,Disaster Relief Relief for Miami,6acde6b1-2552-4aba-bf73-f608186946c1
67f39bec-d7b1-4caf-b40a-a04757063c3b,Rivera Enterprises,rivera.enterprises143@outlook.com,(703) 120-4339,San Francisco,1883,USD,2024-02-08,Arts & Culture,San Francisco Community Arts & Culture Foundation,6acde6b1-2552-4aba-bf73-f608186946c1
63cbb9cb-769d-440d-bfb7-3822aaa9e111,Rivera Enterprises,rivera.enterprises143@outlook.com,(703) 120-4339,Charlotte,1684,USD,2025-09-30,Food Security,Charlotte Community Food Security Initiative,6acde6b1-2552-4aba-bf73-f608186946c1
34200a48-0165-44a8-bc02-30d42003a87c,Cook Memorial Foundation,cook.memorial.foundation937@gmail.com,(323) 198-2169,Jacksonville,1846,USD,2025-03-02,Civil Rights,Emergency Fund for Jacksonville Civil Rights,8137b703-e275-4d24-9a4d-9a144a835fa9
9bf7cbcf-77c6-457c-a23c-7b85d79a15c3,Cook Memorial Foundation,cook.memorial.foundation937@gmail.com,(323) 198-2169,Denver,1023,USD,2025-01-01,Food Security,Restore Denver Food Security,8137b703-e275-4d24-9a4d-9a144a835fa9
11b9378e-3fc8-46da-a0f3-668c63f83e07,Cook Memorial Foundation,cook.memorial.foundation937@gmail.com,(323) 198-2169,Minneapolis,145,USD,2025-10-18,Civil Rights,Minneapolis Civil Rights Program,8137b703-e275-4d24-9a4d-9a144a835fa9
b6d51232-5f09-43a3-bd51-492c3e9dd733,Cook Memorial Foundation,cook.memorial.foundation937@gmail.com,(323) 198-2169,Seattle,1503,USD,2025-01-22,Youth Development,Future of Seattle Youth Development,8137b703-e275-4d24-9a4d-9a144a835fa9
f229e6f9-e797-4238-a6a4-2cec5e1c1bc5,Cook Memorial Foundation,cook.memorial.foundation937@gmail.com,(323) 198-2169,Raleigh,692,USD,2025-02-14,Animal Welfare,Restore Raleigh Animal Welfare,8137b703-e275-4d24-9a4d-9a144a835fa9
28df5778-24b9-4a38-990c-fa9bb25684bd,Kevin White,kevin.white486@outlook.com,(212) 212-3707,Albuquerque,1418,USD,2024-12-14,Food Security,Food Security Relief for Albuquerque,13728bd7-890d-4dba-accb-e985937fd897
d05570e7-1563-4160-bdec-4f2cc6d1ce1f,Kevin White,kevin.white486@outlook.com,(212) 212-3707,Cleveland,720,USD,2025-03-24,Poverty Alleviation,Poverty Alleviation Relief for Cleveland,13728bd7-890d-4dba-accb-e985937fd897
4a147b61-d25b-457a-aef8-baf8e54ade5d,Kevin White,kevin.white486@outlook.com,(212) 212-3707,Chicago,1525,USD,2025-11-03,Religious Activities,Religious Activities Relief for Chicago,13728bd7-890d-4dba-accb-e985937fd897
83cead4c-0737-4b58-bdaa-ebdb91a00de7,Mitchell International,mitchell.international@gmail.com,(617) 775-5670,Seattle,364,USD,2025-01-02,Youth Development,Future of Seattle Youth Development,aef413b9-4da4-4499-884c-92bbeb3e6d74
167a3485-a53d-4d88-bfc0-485564b267c0,Mitchell International,mitchell.international@gmail.com,(617) 775-5670,Raleigh,1098,USD,2025-02-10,Animal Welfare,Restore Raleigh Animal Welfare,aef413b9-4da4-4499-884c-92bbeb3e6d74
fff460f3-a043-4e33-b477-0a2c6fe7b452,Mitchell International,mitchell.international@gmail.com,(617) 775-5670,Fresno,1232,USD,2025-04-10,Mental Health,Fund the Mental Health Fund,aef413b9-4da4-4499-884c-92bbeb3e6d74
30d6d923-8ad3-4f51-b144-e7d4c96c795a,Mitchell International,mitchell.international@gmail.com,(617) 775-5670,Chicago,1547,USD,2025-10-29,Religious Activities,Religious Activities Relief for Chicago,aef413b9-4da4-4499-884c-92bbeb3e6d74
ab16fb03-5b4a-4e59-866a-70c07f33623b,Mitchell International,mitchell.international@gmail.com,(617) 775-5670,Jacksonville,407,USD,2024-05-18,Education,Jacksonville Community Education Fund,aef413b9-4da4-4499-884c-92bbeb3e6d74
9aaa4c55-7832-4128-8917-c3b2dad7ba42,White Family Foundation,white.family.foundation205@outlook.com,(214) 314-1501,Colorado Springs,1742,USD,2025-05-26,Environment,Colorado Springs Environment Fund,768b031f-da3f-49c2-9aa7-db5861b9a17b
1b8562dd-979a-49e4-99c4-b975dee8390e,White Family Foundation,white.family.foundation205@outlook.com,(214) 314-1501,Los Angeles,493,USD,2025-09-24,Children's Services,Los Angeles Community Children's Services Relief Effort,768b031f-da3f-49c2-9aa7-db5861b9a17b
e460e8fe-dd3f-41b6-a3b6-1a286a61f9ec,White Family Foundation,white.family.foundation205@outlook.com,(214) 314-1501,Chicago,56,USD,2025-09-06,Civil Rights,Annual Civil Rights Drive,768b031f-da3f-49c2-9aa7-db5861b9a17b
da3c24bb-7dee-44a7-86f6-01892e4c135f,White Family Foundation,white.family.foundation205@outlook.com,(214) 314-1501,Minneapolis,820,USD,2025-08-23,Civil Rights,Minneapolis Civil Rights Program,768b031f-da3f-49c2-9aa7-db5861b9a17b
4243f76e-2b60-4e66-a450-528fb06c5bb6,Eric Anderson,eric.anderson@icloud.com,(404) 580-3243,San Antonio,1534,USD,2025-03-01,Healthcare,San Antonio Healthcare Program,53acd167-5eec-411a-969a-f129de465a1f
7f15fdb3-53a0-42f6-977f-053b52bf13db,Eric Anderson,eric.anderson@icloud.com,(404) 580-3243,Seattle,886,USD,2025-05-30,Veterans Support,Emergency Fund for Seattle Veterans Support,53acd167-5eec-411a-969a-f129de465a1f
306b0aab-da4e-469d-bc46-8b724d2d4d21,Eric Murphy,eric.murphy770@aol.com,(617) 127-6356,Virginia Beach,276,USD,2025-09-17,Animal Welfare,Virginia Beach Animal Welfare Campaign,3ee4c331-c2f1-4266-a0cb-6c4ac2397136
083c695f-af8b-4977-a135-02e698f805cc,Eric Murphy,eric.murphy770@aol.com,(617) 127-6356,Portland,371,USD,2025-09-12,Education,Portland Education Program,3ee4c331-c2f1-4266-a0cb-6c4ac2397136
2f950107-4b57-4002-8dd5-b460f492bdda,Eric Murphy,eric.murphy770@aol.com,(617) 127-6356,Houston,1038,USD,2025-09-07,Healthcare,Build Better Houston Healthcare,3ee4c331-c2f1-4266-a0cb-6c4ac2397136
64cdbda8-40c6-4bd9-9797-a7791053c23c,Eric Murphy,eric.murphy770@aol.com,(617) 127-6356,Washington DC,97,USD,2025-05-01,Children's Services,Washington DC Children's Services Project,3ee4c331-c2f1-4266-a0cb-6c4ac2397136
b1e3eec9-ae42-47cc-b6d0-f945657518fc,Eric Murphy,eric.murphy770@aol.com,(617) 127-6356,Washington DC,403,USD,2025-01-14,Children's Services,Children's Services Relief for Washington DC,3ee4c331-c2f1-4266-a0cb-6c4ac2397136
b0943a25-80c4-4673-a19c-806d6b5aa522,Baker Foundation,baker.foundation849@outlook.com,(305) 274-3399,Las Vegas,1920,USD,2025-09-10,Animal Welfare,Las Vegas Community Animal Welfare Support Network,dba19fe9-5da0-4dd6-81ad-627b82a612f4
0a39c4b2-1f94-4a00-b6bb-78f587ce24c6,Baker Foundation,baker.foundation849@outlook.com,(305) 274-3399,Milwaukee,1425,USD,2025-10-07,Housing,Milwaukee Housing Fund,dba19fe9-5da0-4dd6-81ad-627b82a612f4
27f0cb53-5480-46d4-8ac5-7da4911cd8cb,Baker Foundation,baker.foundation849@outlook.com,(305) 274-3399,Denver,407,USD,2024-12-26,Food Security,Restore Denver Food Security,dba19fe9-5da0-4dd6-81ad-627b82a612f4
54c33a15-bcce-4c47-91ba-2ff782e0aab4,Baker Foundation,baker.foundation849@outlook.com,(305) 274-3399,Fresno,1527,USD,2024-12-18,Research & Development,Fresno Research & Development Relief Effort,dba19fe9-5da0-4dd6-81ad-627b82a612f4
a50e7b0a-5619-4700-8a5a-1db75d2c769d,Rogers Group LLC,rogers.group.llc279@outlook.com,(713) 905-8629,San Diego,919,USD,2025-03-14,Healthcare,Emergency Fund for San Diego Healthcare,9cddfbbb-cdcd-4b74-9dc1-3071d11129ac
be63b870-3057-4c87-92ac-87dd68904b0b,Rogers Group LLC,rogers.group.llc279@outlook.com,(713) 905-8629,Minneapolis,921,USD,2025-09-15,Civil Rights,Minneapolis Civil Rights Program,9cddfbbb-cdcd-4b74-9dc1-3071d11129ac
2a405f00-72a7-481b-8bb8-c8b0267f6094,Rogers Group LLC,rogers.group.llc279@outlook.com,(713) 905-8629,Albuquerque,1471,USD,2024-12-05,Food Security,Food Security Relief for Albuquerque,9cddfbbb-cdcd-4b74-9dc1-3071d11129ac
ee2cb952-e11e-43a9-b1d0-5000e0790a8e,Rogers Group LLC,rogers.group.llc279@outlook.com,(713) 905-8629,Kansas City,526,USD,2024-09-23,Arts & Culture,Arts & Culture Relief for Kansas City,9cddfbbb-cdcd-4b74-9dc1-3071d11129ac
cf3e03cb-df6e-4a98-9d1d-0cb6f28074b7,Gutierrez Charitable Foundation,gutierrez.charitable.foundation189@hotmail.com,(212) 158-5713,Atlanta,1568,USD,2025-06-20,Community Development,Atlanta Community Development Fund,6200a3a0-1128-4a0a-8e8a-84daaa41a1a0
62d60688-1b82-4ed6-a320-5a5ca19cdd7f,Gutierrez Charitable Foundation,gutierrez.charitable.foundation189@hotmail.com,(212) 158-5713,San Antonio,1295,USD,2025-02-08,Healthcare,San Antonio Healthcare Program,6200a3a0-1128-4a0a-8e8a-84daaa41a1a0
72ef6bdd-5810-48b1-b649-3f571ef49d6a,Gutierrez Charitable Foundation,gutierrez.charitable.foundation189@hotmail.com,(212) 158-5713,Denver,1218,USD,2025-09-30,Animal Welfare,Denver Animal Welfare Program,6200a3a0-1128-4a0a-8e8a-84daaa41a1a0
529350f0-7842-498f-8727-a9aa02d15c01,Gutierrez Charitable Foundation,gutierrez.charitable.foundation189@hotmail.com,(212) 158-5713,Baltimore,895,USD,2025-10-01,Veterans Support,Fund the Veterans Support Relief Effort,6200a3a0-1128-4a0a-8e8a-84daaa41a1a0
ecdd7c1a-74a4-474b-86e5-9d66e0840da1,Gutierrez Charitable Foundation,gutierrez.charitable.foundation189@hotmail.com,(212) 158-5713,Seattle,1394,USD,2025-04-06,Veterans Support,Emergency Fund for Seattle Veterans Support,6200a3a0-1128-4a0a-8e8a-84daaa41a1a0
4b6b52cb-1eca-45e2-b4c8-0917cf8ca534,Helen Collins,helen.collins652@yahoo.com,(212) 890-6110,El Paso,112,USD,2025-05-05,Community Development,Community Development Relief for El Paso,554ce2be-ee60-4db6-926e-d642e3efa0bc
d8d79ecf-3cbe-4ada-9040-660cb856943d,Helen Collins,helen.collins652@yahoo.com,(212) 890-6110,Portland,874,USD,2025-09-15,International Aid,Portland Community International Aid Fund,554ce2be-ee60-4db6-926e-d642e3efa0bc
7c972949-ba2d-4a43-a2df-0ed5717eae59,Kimberly Campbell,kimberly.campbell549@icloud.com,(713) 326-8087,Minneapolis,360,USD,2025-07-29,Civil Rights,Minneapolis Civil Rights Program,40389cb1-b62b-46f2-90ad-e497c32bed07
f5a8ffe7-058c-4215-a626-70f8f9bab941,Kimberly Campbell,kimberly.campbell549@icloud.com,(713) 326-8087,Tampa,416,USD,2025-01-16,Environment,Emergency Fund for Environment Relief Effort,40389cb1-b62b-46f2-90ad-e497c32bed07
bd6d5e1b-8bcc-4dec-943f-d6b14b9ad16d,Jacob Morris,jacob.morris250@aol.com,(214) 786-4045,San Diego,1373,USD,2024-09-25,Healthcare,San Diego Healthcare Program,f563f4b7-51a9-4a3c-9b99-671c137fe647
9d28395e-bf95-469a-ad64-fd22aa6e83b6,Jacob Morris,jacob.morris250@aol.com,(214) 786-4045,Albuquerque,638,USD,2024-12-02,Food Security,Food Security Relief for Albuquerque,f563f4b7-51a9-4a3c-9b99-671c137fe647
0b964a54-d6dc-46db-a8ff-d9805a4e36bf,Stephen Sanchez,stephen.sanchez920@aol.com,(704) 998-7620,Miami,115,USD,2025-04-11,Poverty Alleviation,Community Poverty Alleviation Project,9d5feb6d-147f-4cbc-9aaf-7ed05ec5cea8
bdc48f54-9ac6-4105-b239-b585584c2450,Stephen Sanchez,stephen.sanchez920@aol.com,(704) 998-7620,El Paso,62,USD,2024-11-08,Arts & Culture,Arts & Culture Relief for El Paso,9d5feb6d-147f-4cbc-9aaf-7ed05ec5cea8
3cc4203b-7a54-43b2-ada9-c2576470c5cf,Stephen Sanchez,stephen.sanchez920@aol.com,(704) 998-7620,Jacksonville,698,USD,2025-02-05,Civil Rights,Emergency Fund for Jacksonville Civil Rights,9d5feb6d-147f-4cbc-9aaf-7ed05ec5cea8
e6abf64f-d833-4c20-9016-8dea4ec62b1f,Stephen Sanchez,stephen.sanchez920@aol.com,(704) 998-7620,Cleveland,286,USD,2025-02-10,Poverty Alleviation,Poverty Alleviation Relief for Cleveland,9d5feb6d-147f-4cbc-9aaf-7ed05ec5cea8
0ad45ec3-0c1b-46a7-99cb-73eaf55fb22f,Stephen Sanchez,stephen.sanchez920@aol.com,(704) 998-7620,Miami,892,USD,2024-06-18,Research & Development,Miami Research & Development Foundation,9d5feb6d-147f-4cbc-9aaf-7ed05ec5cea8
5fb353e9-383f-4a46-be0d-8e6bbf2bcddb,Matthew Perez,matthew.perez@yahoo.com,(214) 709-1920,Denver,1571,USD,2025-07-05,Education,Education Relief for Denver,7d700999-b45a-4492-83d1-6ca24f209661
25dc34af-a4cb-4ab2-bbcb-bfe1a262d462,Matthew Perez,matthew.perez@yahoo.com,(214) 709-1920,New Orleans,160,USD,2024-12-09,Animal Welfare,Emergency Fund for New Orleans Animal Welfare,7d700999-b45a-4492-83d1-6ca24f209661
24710e66-eea9-480d-aee2-901b3e6f70ca,Matthew Perez,matthew.perez@yahoo.com,(214) 709-1920,Jacksonville,1386,USD,2025-01-31,Civil Rights,Emergency Fund for Jacksonville Civil Rights,7d700999-b45a-4492-83d1-6ca24f209661
1be3d32c-87b2-4dd8-aaf4-72ce2bde5550,Matthew Perez,matthew.perez@yahoo.com,(214) 709-1920,Colorado Springs,1027,USD,2025-04-11,Environment,Colorado Springs Environment Fund,7d700999-b45a-4492-83d1-6ca24f209661
cf5c3673-0724-4500-bbb4-fb5c7d6a257f,Matthew Perez,matthew.perez@yahoo.com,(214) 709-1920,Indianapolis,1568,USD,2025-01-15,Animal Welfare,Indianapolis Community Animal Welfare Program,7d700999-b45a-4492-83d1-6ca24f209661
916dbb0b-f6bf-4a10-be54-f962f55906ef,Lee Educational Foundation,lee.educational.foundation@gmail.com,(404) 850-7298,Kansas City,505,USD,2024-11-23,Arts & Culture,Arts & Culture Relief for Kansas City,1a5e03d7-7f83-4e89-a588-b87715e80dfa
eda0ef15-2688-438e-a1ad-a880a70fda6b,Lee Educational Foundation,lee.educational.foundation@gmail.com,(404) 850-7298,Albuquerque,625,USD,2024-11-26,Food Security,Food Security Relief for Albuquerque,1a5e03d7-7f83-4e89-a588-b87715e80dfa
57ab8d83-acc4-46cf-ac4b-7913657965e5,Stephen Stewart,stephen.stewart@yahoo.com,(202) 316-4805,Los Angeles,1227,USD,2025-10-09,Children's Services,Los Angeles Community Children's Services Relief Effort,2499ea6c-2f73-4680-94cd-7cbb7aceb541
07f086ac-1d1f-4e62-b6e7-99dfc9e76702,Stephen Stewart,stephen.stewart@yahoo.com,(202) 316-4805,Indianapolis,1094,USD,2024-12-11,Youth Development,Indianapolis Community Youth Development Campaign,2499ea6c-2f73-4680-94cd-7cbb7aceb541
4b3e1eca-2dba-42b0-85d4-9ee0f25c7d9d,Stephen Stewart,stephen.stewart@yahoo.com,(202) 316-4805,Indianapolis,1509,USD,2025-03-02,Animal Welfare,Indianapolis Community Animal Welfare Program,2499ea6c-2f73-4680-94cd-7cbb7aceb541
9308234d-df6e-47fd-b927-c68241159798,Stephen Stewart,stephen.stewart@yahoo.com,(202) 316-4805,Jacksonville,93,USD,2025-02-20,Civil Rights,Emergency Fund for Jacksonville Civil Rights,2499ea6c-2f73-4680-94cd-7cbb7aceb541
46ee3885-df7c-47d5-b491-cd8f36128cdc,Diaz Memorial Foundation,diaz.memorial.foundation@aol.com,(415) 763-4027,El Paso,259,USD,2025-01-21,Arts & Culture,Arts & Culture Relief for El Paso,da10e9c1-14c6-45e6-a575-75a542164701
17ba8ea5-4df3-4939-a6ab-d5d781e8c591,Diaz Memorial Foundation,diaz.memorial.foundation@aol.com,(415) 763-4027,Portland,1338,USD,2025-10-08,International Aid,Portland Community International Aid Fund,da10e9c1-14c6-45e6-a575-75a542164701
54a4c0f1-896b-4356-9a62-1f062dac4706,Adams Memorial Foundation,adams.memorial.foundation318@outlook.com,(313) 496-8690,El Paso,1559,USD,2024-10-11,Arts & Culture,Arts & Culture Relief for El Paso,877d51bd-e764-4eca-8b3f-c364548b0847
54419927-1dac-4784-9a86-d211476d30f7,Adams Memorial Foundation,adams.memorial.foundation318@outlook.com,(313) 496-8690,Portland,949,USD,2025-09-25,International Aid,Portland Community International Aid Fund,877d51bd-e764-4eca-8b3f-c364548b0847
0ba4c68f-f5ce-4683-828b-7dab8ed024e7,Adams Memorial Foundation,adams.memorial.foundation318@outlook.com,(313) 496-8690,Indianapolis,511,USD,2025-07-30,Housing,Restore Housing Assistance Program,877d51bd-e764-4eca-8b3f-c364548b0847
d9227b45-7ff9-43a9-a71b-b168301e415e,Adams Memorial Foundation,adams.memorial.foundation318@outlook.com,(313) 496-8690,San Francisco,1820,USD,2025-03-02,Arts & Culture,San Francisco Community Arts & Culture Relief Effort,877d51bd-e764-4eca-8b3f-c364548b0847
1bb041c9-c14b-4955-8860-c63e1e959a20,Adams Memorial Foundation,adams.memorial.foundation318@outlook.com,(313) 496-8690,Jacksonville,331,USD,2025-02-22,Research & Development,Support Local Jacksonville Research & Development,877d51bd-e764-4eca-8b3f-c364548b0847
e344e6ce-911b-4950-8627-596628d9a87e,Robinson Family Foundation,robinson.family.foundation997@outlook.com,(212) 222-1929,Indianapolis,1909,USD,2025-08-10,Housing,Restore Housing Assistance Program,46c52612-8543-49ac-a6e1-f61ffeb4ddbe
66f24e6c-4c8d-4b7e-b7c3-94aea15916e9,Robinson Family Foundation,robinson.family.foundation997@outlook.com,(212) 222-1929,Miami,741,USD,2025-01-07,Youth Development,Annual Youth Development Relief Effort,46c52612-8543-49ac-a6e1-f61ffeb4ddbe
aba1494e-f8e9-43d3-83b8-5fccfb117acd,Robinson Family Foundation,robinson.family.foundation997@outlook.com,(212) 222-1929,Denver,1913,USD,2025-01-14,Food Security,Restore Denver Food Security,46c52612-8543-49ac-a6e1-f61ffeb4ddbe
b30d32fb-816f-4a48-b70a-ca72219d92a2,Robinson Family Foundation,robinson.family.foundation997@outlook.com,(212) 222-1929,New Orleans,1320,USD,2025-08-06,Animal Welfare,Emergency Fund for New Orleans Animal Welfare,46c52612-8543-49ac-a6e1-f61ffeb4ddbe
0fc1590d-c6d5-423d-b6bd-4b2bb429f9d3,Deborah Morgan,deborah.morgan@outlook.com,(650) 529-6411,Houston,1517,USD,2025-08-15,Healthcare,Build Better Houston Healthcare,552ad023-2d36-41cf-831a-7ae34d75ece0
d6171e1f-b5ca-4255-9ddb-c17dccd3426b,Deborah Morgan,deborah.morgan@outlook.com,(650) 529-6411,Fresno,948,USD,2025-03-11,Children's Services,Children's Services Relief for Fresno,552ad023-2d36-41cf-831a-7ae34d75ece0
