ID,name,email,phone,status,donorType,isRecurringDonor,isHNI
096f4a69-87f3-42f1-a3a6-9b32bc697a76,Rodriguez Charitable Foundation,rodriguez.charitable.foundation@aol.com,(212) 931-1283,Active,Foundation,true,false
9c8cee82-e38e-42f7-8df3-6c68699ff47f,Mitchell Financial Services,mitchell.financial.services@outlook.com,(415) 465-5939,In-Active,Corporate,false,true
57cf1430-9843-4255-ad1a-757a38ea7883,Lewis Trust USA,lewis.trust571@outlook.com,(310) 225-3756,Active,Foundation,false,true
f1889597-96b9-47ec-a894-8275b64398a1,Nguyen Educational Foundation USA,nguyen.educational.foundation234@yahoo.com,(510) 531-4473,Active,Foundation,true,true
f466e469-f9a4-404c-acb1-d5beb93d23ee,Harris Financial Services USA,harris.financial.services@yahoo.com,(404) 922-2681,Active,Corporate,false,true
5a54ce74-0773-4fd8-b718-ec0c1a5a4275,Morgan Financial Services USA,morgan.financial.services833@gmail.com,(323) 301-4638,In-Active,Corporate,false,false
66f5d877-09e6-49c4-a089-c5303cf397fc,Morgan Financial Services,morgan.financial.services999@yahoo.com,(305) 278-3722,Active,Corporate,true,false
f5f74f56-3b59-442f-a5f7-ed3232e6e67f,Lewis Trust,lewis.trust488@gmail.com,(703) 956-3051,Active,Foundation,true,false
614b55d4-eedf-4e5d-9f3c-903b16e9cd45,Rodriguez Charitable Foundation USA,rodriguez.charitable.foundation@yahoo.com,(202) 290-3574,Active,Foundation,false,false
bb2fe338-914d-449f-be34-5ee715788638,Ken Johnson,kenneth.johnson@aol.com,(818) 952-2568,Active,Individual,true,false
2ace33e6-ea40-40e4-85c5-a6dd180d7c30,Nguyen Educational Foundation,nguyen.educational.foundation@aol.com,(212) 857-3776,Active,Foundation,true,false
f14698bd-d9ab-47fe-aaf2-b9e9961ecda1,Harris Financial Services,harris.financial.services@icloud.com,(704) 808-2663,In-Active,Corporate,false,false
181140b1-fcbe-4087-bda8-7ab19fee657b,Kenneth Johnson,kenneth.johnson865@hotmail.com,(916) 353-8047,Active,Individual,false,false
bc565696-d356-41f6-a7ef-544755ce255e,Mitchell Financial Services USA,mitchell.financial.services@icloud.com,(916) 653-2499,In-Active,Corporate,true,true
c2daf01b-0b1b-4ee7-bd5c-35beb088668c,Jeffrey Wright,jeffrey.wright749@icloud.com,(818) 263-3849,Active,Individual,false,false
6acde6b1-2552-4aba-bf73-f608186946c1,Rivera Enterprises,rivera.enterprises143@outlook.com,(703) 120-4339,In-Active,Corporate,true,false
313a1e4d-4391-4ace-a169-6b5eb7ae79c2,Kimberly Ramirez,kimberly.ramirez@outlook.com,(415) 655-3769,In-Active,Individual,false,true
7febbcb4-0bc6-448d-8c1e-d57a25f1ec0d,Brown Scholarship Foundation,brown.scholarship.foundation@gmail.com,(310) 685-7924,Active,Foundation,false,false
8137b703-e275-4d24-9a4d-9a144a835fa9,Cook Memorial Foundation,cook.memorial.foundation937@gmail.com,(323) 198-2169,In-Active,Foundation,true,false
13728bd7-890d-4dba-accb-e985937fd897,Kevin White,kevin.white486@outlook.com,(212) 212-3707,Active,Individual,true,false
aef413b9-4da4-4499-884c-92bbeb3e6d74,Mitchell International,mitchell.international@gmail.com,(617) 775-5670,Active,Corporate,true,true
90beb73e-582c-4daf-9d11-41611b4aa0d9,Lisa Sanchez,lisa.sanchez@yahoo.com,(650) 825-5762,Active,Individual,false,false
768b031f-da3f-49c2-9aa7-db5861b9a17b,White Family Foundation,white.family.foundation205@outlook.com,(214) 314-1501,Active,Foundation,true,false
103510cb-c0d5-4ce9-bb8e-0674167aecb9,Torres Manufacturing,torres.manufacturing@hotmail.com,(818) 949-1835,Active,Corporate,false,true
53acd167-5eec-411a-969a-f129de465a1f,Eric Anderson,eric.anderson@icloud.com,(404) 580-3243,Active,Individual,true,false
3ee4c331-c2f1-4266-a0cb-6c4ac2397136,Eric Murphy,eric.murphy770@aol.com,(617) 127-6356,Active,Individual,true,true
0ce67f2e-10e8-4d51-8d0d-d2cab942789d,Carol Brown,carol.brown956@aol.com,(214) 188-3069,In-Active,Individual,false,false
dba19fe9-5da0-4dd6-81ad-627b82a612f4,Baker Foundation,baker.foundation849@outlook.com,(305) 274-3399,In-Active,Foundation,true,false
9cddfbbb-cdcd-4b74-9dc1-3071d11129ac,Rogers Group LLC,rogers.group.llc279@outlook.com,(713) 905-8629,Active,Corporate,true,true
6200a3a0-1128-4a0a-8e8a-84daaa41a1a0,Gutierrez Charitable Foundation,gutierrez.charitable.foundation189@hotmail.com,(212) 158-5713,Active,Foundation,true,true
554ce2be-ee60-4db6-926e-d642e3efa0bc,Helen Collins,helen.collins652@yahoo.com,(212) 890-6110,Active,Individual,true,false
40389cb1-b62b-46f2-90ad-e497c32bed07,Kimberly Campbell,kimberly.campbell549@icloud.com,(713) 326-8087,Active,Individual,true,false
f563f4b7-51a9-4a3c-9b99-671c137fe647,Jacob Morris,jacob.morris250@aol.com,(214) 786-4045,Active,Individual,true,false
674c865a-8fba-4da6-aad8-4a7284eb84fb,Kevin Nguyen,kevin.nguyen624@aol.com,(650) 966-6714,Active,Individual,false,false
ae8a6271-31e1-43a0-91d8-34f9bbe141ee,Sanchez Trust,sanchez.trust@outlook.com,(305) 980-1827,In-Active,Foundation,false,false
9d5feb6d-147f-4cbc-9aaf-7ed05ec5cea8,Stephen Sanchez,stephen.sanchez920@aol.com,(704) 998-7620,Active,Individual,true,true
7d700999-b45a-4492-83d1-6ca24f209661,Matthew Perez,matthew.perez@yahoo.com,(214) 709-1920,Active,Individual,true,true
1a5e03d7-7f83-4e89-a588-b87715e80dfa,Lee Educational Foundation,lee.educational.foundation@gmail.com,(404) 850-7298,Active,Foundation,true,false
2499ea6c-2f73-4680-94cd-7cbb7aceb541,Stephen Stewart,stephen.stewart@yahoo.com,(202) 316-4805,Active,Individual,true,true
da10e9c1-14c6-45e6-a575-75a542164701,Diaz Memorial Foundation,diaz.memorial.foundation@aol.com,(415) 763-4027,Active,Foundation,true,false
877d51bd-e764-4eca-8b3f-c364548b0847,Adams Memorial Foundation,adams.memorial.foundation318@outlook.com,(313) 496-8690,Active,Foundation,true,true
46c52612-8543-49ac-a6e1-f61ffeb4ddbe,Robinson Family Foundation,robinson.family.foundation997@outlook.com,(212) 222-1929,Active,Foundation,true,false
